text,label
"Horrible app, I will never try it again.",0
I’m happy I chose this product.,1
"Amazing app, I would highly recommend it.",1
"I really hated this game, it was terrible.",0
The experience was disappointing and a waste of money.,0
This book is useless and annoying.,0
The game was disappointing and a waste of money.,0
This meal is really useful and easy to use.,1
"Horrible meal, I will never try it again.",0
"This meal broke after one use, very poor quality.",0
I’m happy I chose this hotel.,1
"I really hated this app, it was terrible.",0
The game experience was delightful.,1
I absolutely loved this app!,1
The service was fantastic and exceeded my expectations.,1
The game experience was frustrating and bad.,0
I’m happy I chose this app.,1
"Amazing hotel, I would highly recommend it.",1
"I really hated this product, it was terrible.",0
"Wonderful experience, I enjoyed it a lot.",1
"Fantastic meal, worth every penny.",1
"I wouldn’t recommend this device, not worth it.",0
"I really hated this experience, it was terrible.",0
"Fantastic book, worth every penny.",1
I’m happy I chose this hotel.,1
The experience experience was frustrating and bad.,0
"This app broke after one use, very poor quality.",0
The product was fantastic and exceeded my expectations.,1
"I wouldn’t recommend this device, not worth it.",0
I’m happy I chose this product.,1
The device was disappointing and a waste of money.,0
"Fantastic experience, worth every penny.",1
The product was boring and badly made.,0
I'm very satisfied with this service.,1
The service was disappointing and a waste of money.,0
This book is really useful and easy to use.,1
"Fantastic game, worth every penny.",1
The game quality was great and service was excellent.,1
I’m very dissatisfied with this device.,0
"Fantastic service, worth every penny.",1
"Wonderful experience, I enjoyed it a lot.",1
"Wonderful product, I enjoyed it a lot.",1
The meal was fantastic and exceeded my expectations.,1
The game quality was great and service was excellent.,1
The service quality was great and service was excellent.,1
"This service broke after one use, very poor quality.",0
"This experience broke after one use, very poor quality.",0
This hotel is useless and annoying.,0
The hotel was boring and badly made.,0
I’m happy I chose this service.,1
I'm very satisfied with this app.,1
This movie is really useful and easy to use.,1
"I really hated this product, it was terrible.",0
The app experience was delightful.,1
The experience was boring and badly made.,0
The movie was disappointing and a waste of money.,0
I’m happy I chose this app.,1
I absolutely loved this service!,1
The movie quality was great and service was excellent.,1
The service quality was great and service was excellent.,1
I’m happy I chose this experience.,1
"This service broke after one use, very poor quality.",0
"This book broke after one use, very poor quality.",0
"I really hated this product, it was terrible.",0
I absolutely loved this book!,1
I’m happy I chose this service.,1
The product experience was frustrating and bad.,0
I'm very satisfied with this service.,1
The experience quality was great and service was excellent.,1
"I wouldn’t recommend this app, not worth it.",0
"Wonderful app, I enjoyed it a lot.",1
I'm very satisfied with this game.,1
The book experience was frustrating and bad.,0
"Wonderful app, I enjoyed it a lot.",1
I absolutely loved this app!,1
"Horrible device, I will never try it again.",0
"Fantastic movie, worth every penny.",1
I'm very satisfied with this book.,1
The book experience was delightful.,1
"Awful device, I regret buying it.",0
"Wonderful meal, I enjoyed it a lot.",1
The device quality was great and service was excellent.,1
The device was disappointing and a waste of money.,0
I’m very dissatisfied with this book.,0
"Awful service, I regret buying it.",0
The device quality was great and service was excellent.,1
I’m very dissatisfied with this service.,0
"This service broke after one use, very poor quality.",0
The device experience was delightful.,1
This movie is really useful and easy to use.,1
I absolutely loved this hotel!,1
"I really hated this app, it was terrible.",0
The meal was disappointing and a waste of money.,0
I’m very dissatisfied with this app.,0
The hotel was disappointing and a waste of money.,0
I'm very satisfied with this book.,1
"Fantastic app, worth every penny.",1
The app experience was frustrating and bad.,0
"I really hated this movie, it was terrible.",0
"Awful movie, I regret buying it.",0
I'm very satisfied with this app.,1
The hotel quality was great and service was excellent.,1
"Amazing device, I would highly recommend it.",1
"Wonderful movie, I enjoyed it a lot.",1
The service was boring and badly made.,0
"Horrible book, I will never try it again.",0
The experience quality was great and service was excellent.,1
I’m happy I chose this game.,1
"Awful product, I regret buying it.",0
"I wouldn’t recommend this app, not worth it.",0
I’m happy I chose this service.,1
"Amazing app, I would highly recommend it.",1
"I wouldn’t recommend this service, not worth it.",0
"I wouldn’t recommend this meal, not worth it.",0
The movie was disappointing and a waste of money.,0
I’m very dissatisfied with this device.,0
"I really hated this hotel, it was terrible.",0
The service was boring and badly made.,0
"Awful book, I regret buying it.",0
The app was fantastic and exceeded my expectations.,1
I’m very dissatisfied with this app.,0
The hotel quality was great and service was excellent.,1
"Awful game, I regret buying it.",0
I’m happy I chose this meal.,1
This service is really useful and easy to use.,1
The meal experience was frustrating and bad.,0
I absolutely loved this hotel!,1
This product is useless and annoying.,0
I’m very dissatisfied with this service.,0
"Horrible game, I will never try it again.",0
The game experience was frustrating and bad.,0
This experience is really useful and easy to use.,1
"Amazing app, I would highly recommend it.",1
"Horrible book, I will never try it again.",0
"Awful experience, I regret buying it.",0
The experience experience was delightful.,1
I absolutely loved this hotel!,1
"I wouldn’t recommend this app, not worth it.",0
The book quality was great and service was excellent.,1
I’m very dissatisfied with this experience.,0
"Amazing game, I would highly recommend it.",1
I'm very satisfied with this book.,1
The experience experience was delightful.,1
This app is useless and annoying.,0
I absolutely loved this device!,1
The experience quality was great and service was excellent.,1
The hotel experience was frustrating and bad.,0
"This movie broke after one use, very poor quality.",0
"This service broke after one use, very poor quality.",0
"I wouldn’t recommend this device, not worth it.",0
The service experience was delightful.,1
The device was disappointing and a waste of money.,0
"Awful experience, I regret buying it.",0
"Horrible meal, I will never try it again.",0
The book was boring and badly made.,0
I’m very dissatisfied with this service.,0
I’m very dissatisfied with this meal.,0
"This app broke after one use, very poor quality.",0
"Wonderful hotel, I enjoyed it a lot.",1
"I really hated this game, it was terrible.",0
"Wonderful book, I enjoyed it a lot.",1
This experience is useless and annoying.,0
"This service broke after one use, very poor quality.",0
The book was boring and badly made.,0
I’m happy I chose this service.,1
"Fantastic movie, worth every penny.",1
"This movie broke after one use, very poor quality.",0
"Amazing experience, I would highly recommend it.",1
I'm very satisfied with this movie.,1
I'm very satisfied with this device.,1
"Horrible device, I will never try it again.",0
"Awful meal, I regret buying it.",0
"I wouldn’t recommend this experience, not worth it.",0
This product is useless and annoying.,0
The meal was fantastic and exceeded my expectations.,1
The device quality was great and service was excellent.,1
"Wonderful service, I enjoyed it a lot.",1
This hotel is really useful and easy to use.,1
"This experience broke after one use, very poor quality.",0
The game quality was great and service was excellent.,1
The product was boring and badly made.,0
"I wouldn’t recommend this device, not worth it.",0
"Awful product, I regret buying it.",0
The game quality was great and service was excellent.,1
I’m very dissatisfied with this device.,0
I'm very satisfied with this app.,1
The movie was fantastic and exceeded my expectations.,1
I’m very dissatisfied with this app.,0
I absolutely loved this book!,1
"Fantastic meal, worth every penny.",1
The app was boring and badly made.,0
The service was disappointing and a waste of money.,0
"Awful meal, I regret buying it.",0
"This product broke after one use, very poor quality.",0
The app was boring and badly made.,0
The meal was fantastic and exceeded my expectations.,1
The experience was disappointing and a waste of money.,0
"Amazing movie, I would highly recommend it.",1
"Wonderful experience, I enjoyed it a lot.",1
I'm very satisfied with this service.,1
The game experience was frustrating and bad.,0
"I wouldn’t recommend this movie, not worth it.",0
The game was disappointing and a waste of money.,0
This service is useless and annoying.,0
"Horrible service, I will never try it again.",0
I'm very satisfied with this service.,1
The book experience was delightful.,1
The book experience was delightful.,1
"Horrible app, I will never try it again.",0
"I wouldn’t recommend this game, not worth it.",0
The game was disappointing and a waste of money.,0
"Awful experience, I regret buying it.",0
The device experience was delightful.,1
"Wonderful app, I enjoyed it a lot.",1
"Wonderful game, I enjoyed it a lot.",1
"Fantastic meal, worth every penny.",1
This app is really useful and easy to use.,1
I’m very dissatisfied with this experience.,0
"Horrible product, I will never try it again.",0
"Wonderful movie, I enjoyed it a lot.",1
"I really hated this app, it was terrible.",0
This meal is really useful and easy to use.,1
The device experience was frustrating and bad.,0
"Wonderful app, I enjoyed it a lot.",1
The device was fantastic and exceeded my expectations.,1
I absolutely loved this experience!,1
I'm very satisfied with this hotel.,1
I’m happy I chose this book.,1
I absolutely loved this movie!,1
The app was fantastic and exceeded my expectations.,1
"Wonderful movie, I enjoyed it a lot.",1
I'm very satisfied with this service.,1
"This meal broke after one use, very poor quality.",0
The product was boring and badly made.,0
This experience is useless and annoying.,0
"I wouldn’t recommend this device, not worth it.",0
"Awful app, I regret buying it.",0
This hotel is really useful and easy to use.,1
I’m very dissatisfied with this meal.,0
"Amazing movie, I would highly recommend it.",1
"Horrible movie, I will never try it again.",0
I’m very dissatisfied with this service.,0
"Awful product, I regret buying it.",0
This game is useless and annoying.,0
The hotel quality was great and service was excellent.,1
The product experience was frustrating and bad.,0
The product was boring and badly made.,0
The service experience was frustrating and bad.,0
"Horrible app, I will never try it again.",0
The experience was disappointing and a waste of money.,0
"I wouldn’t recommend this experience, not worth it.",0
"This device broke after one use, very poor quality.",0
The service was boring and badly made.,0
"Wonderful experience, I enjoyed it a lot.",1
"Horrible hotel, I will never try it again.",0
"Awful game, I regret buying it.",0
I’m happy I chose this book.,1
This product is useless and annoying.,0
"Fantastic game, worth every penny.",1
This game is really useful and easy to use.,1
I absolutely loved this experience!,1
I’m very dissatisfied with this movie.,0
The book quality was great and service was excellent.,1
"Horrible experience, I will never try it again.",0
"This app broke after one use, very poor quality.",0
I’m very dissatisfied with this game.,0
"Fantastic game, worth every penny.",1
This service is useless and annoying.,0
"Awful movie, I regret buying it.",0
I absolutely loved this experience!,1
The app was boring and badly made.,0
"I really hated this service, it was terrible.",0
I absolutely loved this book!,1
"Horrible service, I will never try it again.",0
The hotel experience was delightful.,1
I’m very dissatisfied with this hotel.,0
The meal was disappointing and a waste of money.,0
The meal experience was delightful.,1
"Amazing game, I would highly recommend it.",1
"Horrible game, I will never try it again.",0
"Awful hotel, I regret buying it.",0
"I really hated this app, it was terrible.",0
The device experience was delightful.,1
I absolutely loved this device!,1
I absolutely loved this app!,1
This game is really useful and easy to use.,1
This book is useless and annoying.,0
"I wouldn’t recommend this meal, not worth it.",0
"Amazing game, I would highly recommend it.",1
The product experience was delightful.,1
"I wouldn’t recommend this movie, not worth it.",0
"Awful app, I regret buying it.",0
"Awful device, I regret buying it.",0
This experience is useless and annoying.,0
"Awful meal, I regret buying it.",0
I’m very dissatisfied with this game.,0
The game was disappointing and a waste of money.,0
The movie was boring and badly made.,0
"This hotel broke after one use, very poor quality.",0
"I wouldn’t recommend this movie, not worth it.",0
"Horrible movie, I will never try it again.",0
"This product broke after one use, very poor quality.",0
"This movie broke after one use, very poor quality.",0
"Awful device, I regret buying it.",0
This meal is really useful and easy to use.,1
The game was fantastic and exceeded my expectations.,1
"This experience broke after one use, very poor quality.",0
"Amazing book, I would highly recommend it.",1
This movie is useless and annoying.,0
The service quality was great and service was excellent.,1
"I wouldn’t recommend this service, not worth it.",0
"Fantastic game, worth every penny.",1
I’m very dissatisfied with this experience.,0
"This game broke after one use, very poor quality.",0
"Awful device, I regret buying it.",0
"I really hated this game, it was terrible.",0
"This product broke after one use, very poor quality.",0
"I wouldn’t recommend this service, not worth it.",0
The app experience was delightful.,1
"I wouldn’t recommend this meal, not worth it.",0
I'm very satisfied with this device.,1
The game was boring and badly made.,0
"This service broke after one use, very poor quality.",0
The service was boring and badly made.,0
The device experience was delightful.,1
The app was disappointing and a waste of money.,0
"Horrible experience, I will never try it again.",0
The movie was fantastic and exceeded my expectations.,1
"Fantastic service, worth every penny.",1
"Horrible experience, I will never try it again.",0
"Fantastic service, worth every penny.",1
"This book broke after one use, very poor quality.",0
The game was boring and badly made.,0
I absolutely loved this experience!,1
I'm very satisfied with this product.,1
The book experience was frustrating and bad.,0
The hotel was disappointing and a waste of money.,0
I’m very dissatisfied with this service.,0
"This service broke after one use, very poor quality.",0
"Horrible app, I will never try it again.",0
"This hotel broke after one use, very poor quality.",0
"I really hated this hotel, it was terrible.",0
This meal is useless and annoying.,0
I’m happy I chose this meal.,1
The product experience was frustrating and bad.,0
"I wouldn’t recommend this device, not worth it.",0
"I really hated this device, it was terrible.",0
The service experience was delightful.,1
"Awful game, I regret buying it.",0
I’m happy I chose this hotel.,1
I absolutely loved this game!,1
This book is useless and annoying.,0
"This game broke after one use, very poor quality.",0
The meal experience was delightful.,1
The app quality was great and service was excellent.,1
"Wonderful hotel, I enjoyed it a lot.",1
The hotel was disappointing and a waste of money.,0
The book experience was delightful.,1
This experience is really useful and easy to use.,1
"Horrible movie, I will never try it again.",0
This app is really useful and easy to use.,1
I absolutely loved this game!,1
The movie experience was delightful.,1
I’m very dissatisfied with this meal.,0
I’m happy I chose this app.,1
The product was boring and badly made.,0
The movie quality was great and service was excellent.,1
The hotel quality was great and service was excellent.,1
This experience is really useful and easy to use.,1
The experience quality was great and service was excellent.,1
"Awful movie, I regret buying it.",0
The app quality was great and service was excellent.,1
"Awful book, I regret buying it.",0
I’m very dissatisfied with this product.,0
I’m very dissatisfied with this product.,0
The meal was boring and badly made.,0
The game was fantastic and exceeded my expectations.,1
"I really hated this service, it was terrible.",0
I’m happy I chose this movie.,1
The game experience was delightful.,1
This movie is really useful and easy to use.,1
"Wonderful product, I enjoyed it a lot.",1
I'm very satisfied with this service.,1
The meal quality was great and service was excellent.,1
"I wouldn’t recommend this device, not worth it.",0
I’m happy I chose this device.,1
The meal was boring and badly made.,0
The hotel experience was delightful.,1
"I really hated this game, it was terrible.",0
"Amazing book, I would highly recommend it.",1
The game experience was frustrating and bad.,0
"I really hated this movie, it was terrible.",0
"I really hated this service, it was terrible.",0
"Wonderful game, I enjoyed it a lot.",1
"Horrible app, I will never try it again.",0
"Wonderful experience, I enjoyed it a lot.",1
The book experience was frustrating and bad.,0
"Wonderful meal, I enjoyed it a lot.",1
The service was fantastic and exceeded my expectations.,1
The movie was boring and badly made.,0
"This meal broke after one use, very poor quality.",0
"Awful app, I regret buying it.",0
"Amazing experience, I would highly recommend it.",1
The experience quality was great and service was excellent.,1
"Wonderful service, I enjoyed it a lot.",1
The game experience was frustrating and bad.,0
The experience was disappointing and a waste of money.,0
The meal quality was great and service was excellent.,1
The book was boring and badly made.,0
"Wonderful app, I enjoyed it a lot.",1
The product experience was frustrating and bad.,0
I’m very dissatisfied with this app.,0
The game was fantastic and exceeded my expectations.,1
This app is useless and annoying.,0
"Wonderful book, I enjoyed it a lot.",1
I’m happy I chose this device.,1
"I wouldn’t recommend this service, not worth it.",0
I’m very dissatisfied with this book.,0
"Awful app, I regret buying it.",0
"Fantastic game, worth every penny.",1
"Wonderful book, I enjoyed it a lot.",1
"Amazing hotel, I would highly recommend it.",1
"Horrible service, I will never try it again.",0
"Awful service, I regret buying it.",0
I’m happy I chose this service.,1
The meal was fantastic and exceeded my expectations.,1
"Wonderful product, I enjoyed it a lot.",1
This product is really useful and easy to use.,1
The experience experience was delightful.,1
"This hotel broke after one use, very poor quality.",0
The game experience was frustrating and bad.,0
I'm very satisfied with this device.,1
"Awful product, I regret buying it.",0
This experience is really useful and easy to use.,1
"Fantastic hotel, worth every penny.",1
"Wonderful experience, I enjoyed it a lot.",1
"Awful hotel, I regret buying it.",0
I absolutely loved this book!,1
The book was fantastic and exceeded my expectations.,1
"Fantastic game, worth every penny.",1
"I wouldn’t recommend this meal, not worth it.",0
"Awful game, I regret buying it.",0
The hotel was boring and badly made.,0
"I wouldn’t recommend this experience, not worth it.",0
The app was fantastic and exceeded my expectations.,1
The game was disappointing and a waste of money.,0
"Horrible hotel, I will never try it again.",0
"I really hated this book, it was terrible.",0
"Amazing meal, I would highly recommend it.",1
"I wouldn’t recommend this app, not worth it.",0
"This meal broke after one use, very poor quality.",0
"I wouldn’t recommend this product, not worth it.",0
The product was disappointing and a waste of money.,0
I’m happy I chose this product.,1
"I really hated this meal, it was terrible.",0
"I wouldn’t recommend this product, not worth it.",0
This book is really useful and easy to use.,1
This service is useless and annoying.,0
"This meal broke after one use, very poor quality.",0
The experience experience was delightful.,1
I’m happy I chose this game.,1
The device was disappointing and a waste of money.,0
"I wouldn’t recommend this hotel, not worth it.",0
This movie is useless and annoying.,0
I absolutely loved this product!,1
I’m happy I chose this product.,1
The app quality was great and service was excellent.,1
The experience was fantastic and exceeded my expectations.,1
The product was fantastic and exceeded my expectations.,1
"Fantastic movie, worth every penny.",1
The book experience was frustrating and bad.,0
This service is really useful and easy to use.,1
"Amazing movie, I would highly recommend it.",1
I’m very dissatisfied with this book.,0
I’m happy I chose this book.,1
The game experience was delightful.,1
"Wonderful product, I enjoyed it a lot.",1
"I really hated this service, it was terrible.",0
"Fantastic game, worth every penny.",1
The service was disappointing and a waste of money.,0
"Fantastic movie, worth every penny.",1
I’m very dissatisfied with this service.,0
The meal was disappointing and a waste of money.,0
This app is really useful and easy to use.,1
"Fantastic app, worth every penny.",1
"Amazing app, I would highly recommend it.",1
The book experience was delightful.,1
I’m happy I chose this meal.,1
This book is really useful and easy to use.,1
I’m happy I chose this device.,1
"Wonderful hotel, I enjoyed it a lot.",1
"Awful game, I regret buying it.",0
I'm very satisfied with this app.,1
The movie experience was frustrating and bad.,0
I’m happy I chose this service.,1
I’m happy I chose this app.,1
This product is really useful and easy to use.,1
I’m very dissatisfied with this device.,0
The book was fantastic and exceeded my expectations.,1
"Amazing service, I would highly recommend it.",1
